Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	20210316_144618.WAV	10.0	13.0	150	15000	grnwoo1	Eurasian Green Woodpecker	0.22948869128892094	1
2	Spectrogram 1	1	20210316_144618.WAV	10.0	13.0	150	15000	eurjay1	Eurasian Jay	0.22058614484544717	2
3	Spectrogram 1	1	20210316_144618.WAV	10.0	13.0	150	15000	norgos	Northern Goshawk	0.22021432170490396	3
4	Spectrogram 1	1	20210316_144618.WAV	12.0	15.0	150	15000	gyfwoo1	Gray-headed Woodpecker	0.22955181756121804	1
5	Spectrogram 1	1	20210316_144618.WAV	12.0	15.0	150	15000	grswoo	Great Spotted Woodpecker	0.2267667787581646	2
6	Spectrogram 1	1	20210316_144618.WAV	12.0	15.0	150	15000	rinphe	Ring-necked Pheasant	0.22663853349080493	3
7	Spectrogram 1	1	20210316_144618.WAV	14.0	17.0	150	15000	egygoo	Egyptian Goose	0.4067790097367452	1
8	Spectrogram 1	1	20210316_144618.WAV	14.0	17.0	150	15000	comrav	Common Raven	0.287478943588538	2
9	Spectrogram 1	1	20210316_144618.WAV	14.0	17.0	150	15000	rinphe	Ring-necked Pheasant	0.258228340067163	3
10	Spectrogram 1	1	20210316_144618.WAV	16.0	19.0	150	15000	comrav	Common Raven	0.25132970861995757	1
11	Spectrogram 1	1	20210316_144618.WAV	16.0	19.0	150	15000	rinphe	Ring-necked Pheasant	0.21718369310992403	2
12	Spectrogram 1	1	20210316_144618.WAV	16.0	19.0	150	15000	norgos	Northern Goshawk	0.21179610757661496	3
13	Spectrogram 1	1	20210316_144618.WAV	18.0	21.0	150	15000	rinphe	Ring-necked Pheasant	0.21411925693939257	1
14	Spectrogram 1	1	20210316_144618.WAV	18.0	21.0	150	15000	comrav	Common Raven	0.21142993861989035	2
15	Spectrogram 1	1	20210316_144618.WAV	18.0	21.0	150	15000	tawowl1	Tawny Owl	0.20167742782521714	3
16	Spectrogram 1	1	20210316_144618.WAV	2.0	5.0	150	15000	rinphe	Ring-necked Pheasant	0.22429634960908204	1
17	Spectrogram 1	1	20210316_144618.WAV	2.0	5.0	150	15000	snobun	Snow Bunting	0.22258328802809102	2
18	Spectrogram 1	1	20210316_144618.WAV	2.0	5.0	150	15000	comrav	Common Raven	0.2165585883900293	3
19	Spectrogram 1	1	20210316_144618.WAV	20.0	23.0	150	15000	comrav	Common Raven	0.2364553262750447	1
20	Spectrogram 1	1	20210316_144618.WAV	20.0	23.0	150	15000	rinphe	Ring-necked Pheasant	0.22106694880715902	2
21	Spectrogram 1	1	20210316_144618.WAV	20.0	23.0	150	15000	tawowl1	Tawny Owl	0.21448721945870772	3
22	Spectrogram 1	1	20210316_144618.WAV	22.0	25.0	150	15000	comrav	Common Raven	0.22783471444687017	1
23	Spectrogram 1	1	20210316_144618.WAV	22.0	25.0	150	15000	rinphe	Ring-necked Pheasant	0.22639940692332	2
24	Spectrogram 1	1	20210316_144618.WAV	22.0	25.0	150	15000	norgos	Northern Goshawk	0.22067154263793518	3
25	Spectrogram 1	1	20210316_144618.WAV	24.0	27.0	150	15000	eurtre1	Eurasian Treecreeper	0.2947376061286797	1
26	Spectrogram 1	1	20210316_144618.WAV	24.0	27.0	150	15000	grnwoo1	Eurasian Green Woodpecker	0.2904803124886011	2
27	Spectrogram 1	1	20210316_144618.WAV	24.0	27.0	150	15000	blawoo1	Black Woodpecker	0.2792696470001452	3
28	Spectrogram 1	1	20210316_144618.WAV	26.0	29.0	150	15000	tawowl1	Tawny Owl	0.6718599832781419	1
29	Spectrogram 1	1	20210316_144618.WAV	26.0	29.0	150	15000	comcra	Common Crane	0.27993647994492443	2
30	Spectrogram 1	1	20210316_144618.WAV	26.0	29.0	150	15000	comcuc	Common Cuckoo	0.2741109692198027	3
31	Spectrogram 1	1	20210316_144618.WAV	28.0	31.0	150	15000	tawowl1	Tawny Owl	0.4598660951709416	1
32	Spectrogram 1	1	20210316_144618.WAV	28.0	31.0	150	15000	comcra	Common Crane	0.31169729954466757	2
33	Spectrogram 1	1	20210316_144618.WAV	28.0	31.0	150	15000	comcuc	Common Cuckoo	0.2875702062153384	3
34	Spectrogram 1	1	20210316_144618.WAV	30.0	33.0	150	15000	tawowl1	Tawny Owl	0.7440701748588047	1
35	Spectrogram 1	1	20210316_144618.WAV	30.0	33.0	150	15000	comcra	Common Crane	0.30081284844994266	2
36	Spectrogram 1	1	20210316_144618.WAV	30.0	33.0	150	15000	rinphe	Ring-necked Pheasant	0.22836170323478244	3
37	Spectrogram 1	1	20210316_144618.WAV	32.0	35.0	150	15000	reebun	Reed Bunting	0.3466837710190333	1
38	Spectrogram 1	1	20210316_144618.WAV	32.0	35.0	150	15000	cirbun1	Cirl Bunting	0.31253715556087863	2
39	Spectrogram 1	1	20210316_144618.WAV	32.0	35.0	150	15000	yellow2	Yellowhammer	0.3110514484806393	3
40	Spectrogram 1	1	20210316_144618.WAV	34.0	37.0	150	15000	tawowl1	Tawny Owl	0.5700572663115395	1
41	Spectrogram 1	1	20210316_144618.WAV	34.0	37.0	150	15000	comcra	Common Crane	0.2999028361155961	2
42	Spectrogram 1	1	20210316_144618.WAV	34.0	37.0	150	15000	comrav	Common Raven	0.28060685611809894	3
43	Spectrogram 1	1	20210316_144618.WAV	36.0	39.0	150	15000	tawowl1	Tawny Owl	0.5869627441368729	1
44	Spectrogram 1	1	20210316_144618.WAV	36.0	39.0	150	15000	comcra	Common Crane	0.32434507497715837	2
45	Spectrogram 1	1	20210316_144618.WAV	36.0	39.0	150	15000	eurcoo	Eurasian Coot	0.26728404073901735	3
46	Spectrogram 1	1	20210316_144618.WAV	38.0	41.0	150	15000	tawowl1	Tawny Owl	0.6424644169013735	1
47	Spectrogram 1	1	20210316_144618.WAV	38.0	41.0	150	15000	loeowl	Long-eared Owl	0.27654381128701894	2
48	Spectrogram 1	1	20210316_144618.WAV	38.0	41.0	150	15000	comcra	Common Crane	0.2603947620141816	3
49	Spectrogram 1	1	20210316_144618.WAV	4.0	7.0	150	15000	comrav	Common Raven	0.24031660841729796	1
50	Spectrogram 1	1	20210316_144618.WAV	4.0	7.0	150	15000	rinphe	Ring-necked Pheasant	0.22682172243196438	2
